STATEFP,COUNTYFP,COUNTY,STATE
27,039,Dodge County,Minnesota
21,189,Owsley County,Kentucky
26,123,Newaygo County,Michigan
26,133,Osceola County,Michigan
21,201,Robertson County,Kentucky
37,153,Richmond County,North Carolina
17,051,Fayette County,Illinois
17,053,Ford County,Illinois
21,011,Bath County,Kentucky
21,017,Bourbon County,Kentucky
48,137,Edwards County,Texas
40,103,Noble County,Oklahoma
46,125,Turner County,South Dakota
40,093,Major County,Oklahoma
46,011,Brookings County,South Dakota
47,017,Carroll County,Tennessee
48,005,Angelina County,Texas
45,011,Barnwell County,South Carolina
45,015,Berkeley County,South Carolina
46,067,Hutchinson County,South Dakota
45,035,Dorchester County,South Carolina
45,023,Chester County,South Carolina
48,023,Baylor County,Texas
47,077,Henderson County,Tennessee
46,087,McCook County,South Dakota
42,035,Clinton County,Pennsylvania
27,073,Lac qui Parle County,Minnesota
47,109,McNairy County,Tennessee
46,069,Hyde County,South Dakota
22,119,Webster Parish,Louisiana
48,081,Coke County,Texas
19,033,Cerro Gordo County,Iowa
37,147,Pitt County,North Carolina
19,037,Chickasaw County,Iowa
19,041,Clay County,Iowa
24,045,Wicomico County,Maryland
20,073,Greenwood County,Kansas
48,143,Erath County,Texas
48,099,Coryell County,Texas
17,139,Moultrie County,Illinois
21,109,Jackson County,Kentucky
21,115,Johnson County,Kentucky
19,189,Winnebago County,Iowa
21,121,Knox County,Kentucky
19,183,Washington County,Iowa
47,159,Smith County,Tennessee
48,117,Deaf Smith County,Texas
20,035,Cowley County,Kansas
21,139,Livingston County,Kentucky
26,075,Jackson County,Michigan
49,031,Piute County,Utah
27,033,Cottonwood County,Minnesota
26,105,Mason County,Michigan
49,005,Cache County,Utah
49,009,Daggett County,Utah
47,113,Madison County,Tennessee
56,007,Carbon County,Wyoming
48,283,La Salle County,Texas
01,031,Coffee County,Alabama
19,069,Franklin County,Iowa
48,289,Leon County,Texas
13,031,Bulloch County,Georgia
20,109,Logan County,Kansas
19,079,Hamilton County,Iowa
48,309,McLennan County,Texas
51,053,Dinwiddie County,Virginia
17,129,Menard County,Illinois
08,095,Phillips County,Colorado
39,127,Perry County,Ohio
51,073,Gloucester County,Virginia
51,083,Halifax County,Virginia
08,111,San Juan County,Colorado
19,157,Poweshiek County,Iowa
13,039,Camden County,Georgia
40,111,Okmulgee County,Oklahoma
35,009,Curry County,New Mexico
31,005,Arthur County,Nebraska
48,425,Somervell County,Texas
29,159,Pettis County,Missouri
31,049,Deuel County,Nebraska
13,303,Washington County,Georgia
13,309,Wheeler County,Georgia
41,053,Polk County,Oregon
13,133,Greene County,Georgia
55,073,Marathon County,Wisconsin
05,095,Monroe County,Arkansas
55,079,Milwaukee County,Wisconsin
02,060,Bristol Bay Borough,Alaska
55,113,Sawyer County,Wisconsin
55,141,Wood County,Wisconsin
36,061,New York County,New York
38,093,Stutsman County,North Dakota
28,019,Choctaw County,Mississippi
46,017,Buffalo County,South Dakota
29,079,Grundy County,Missouri
29,021,Buchanan County,Missouri
48,049,Brown County,Texas
48,135,Ector County,Texas
48,235,Irion County,Texas
49,047,Uintah County,Utah
13,081,Crisp County,Georgia
17,179,Tazewell County,Illinois
39,141,Ross County,Ohio
21,053,Clinton County,Kentucky
08,085,Montrose County,Colorado
48,421,Sherman County,Texas
19,185,Wayne County,Iowa
48,445,Terry County,Texas
12,049,Hardee County,Florida
39,157,Tuscarawas County,Ohio
17,015,Carroll County,Illinois
39,165,Warren County,Ohio
39,175,Wyandot County,Ohio
48,469,Victoria County,Texas
13,219,Oconee County,Georgia
13,221,Oglethorpe County,Georgia
13,231,Pike County,Georgia
39,031,Coshocton County,Ohio
48,503,Young County,Texas
13,159,Jasper County,Georgia
13,117,Forsyth County,Georgia
48,243,Jeff Davis County,Texas
48,285,Lavaca County,Texas
48,211,Hemphill County,Texas
27,131,Rice County,Minnesota
20,077,Harper County,Kansas
13,005,Bacon County,Georgia
18,163,Vanderburgh County,Indiana
48,219,Hockley County,Texas
39,003,Allen County,Ohio
40,107,Okfuskee County,Oklahoma
29,209,Stone County,Missouri
34,035,Somerset County,New Jersey
29,225,Webster County,Missouri
38,067,Pembina County,North Dakota
51,510,Alexandria city,Virginia
51,520,Bristol city,Virginia
51,530,Buena Vista city,Virginia
51,570,Colonial Heights city,Virginia
29,177,Ray County,Missouri
51,610,Falls Church city,Virginia
37,109,Lincoln County,North Carolina
05,099,Nevada County,Arkansas
51,685,Manassas Park city,Virginia
18,049,Fulton County,Indiana
20,173,Sedgwick County,Kansas
51,790,Staunton city,Virginia
08,033,Dolores County,Colorado
09,007,Middlesex County,Connecticut
01,021,Chilton County,Alabama
16,001,Ada County,Idaho
48,237,Jack County,Texas
01,037,Coosa County,Alabama
17,075,Iroquois County,Illinois
20,099,Labette County,Kansas
05,135,Sharp County,Arkansas
39,101,Marion County,Ohio
01,087,Macon County,Alabama
37,175,Transylvania County,North Carolina
39,107,Mercer County,Ohio
01,017,Chambers County,Alabama
20,105,Lincoln County,Kansas
22,063,Livingston Parish,Louisiana
26,007,Alpena County,Michigan
26,091,Lenawee County,Michigan
32,009,Esmeralda County,Nevada
48,113,Dallas County,Texas
19,009,Audubon County,Iowa
20,141,Osborne County,Kansas
20,183,Smith County,Kansas
37,185,Warren County,North Carolina
72,113,Ponce Municipio,Puerto Rico
38,019,Cavalier County,North Dakota
38,041,Hettinger County,North Dakota
18,169,Wabash County,Indiana
19,087,Henry County,Iowa
22,105,Tangipahoa Parish,Louisiana
22,123,West Carroll Parish,Louisiana
01,071,Jackson County,Alabama
18,103,Miami County,Indiana
18,109,Morgan County,Indiana
20,095,Kingman County,Kansas
51,770,Roanoke city,Virginia
19,145,Page County,Iowa
19,173,Taylor County,Iowa
20,027,Clay County,Kansas
20,065,Graham County,Kansas
20,101,Lane County,Kansas
46,029,Codington County,South Dakota
27,087,Mahnomen County,Minnesota
20,171,Scott County,Kansas
20,179,Sheridan County,Kansas
05,049,Fulton County,Arkansas
40,049,Garvin County,Oklahoma
05,087,Madison County,Arkansas
48,499,Wood County,Texas
48,343,Morris County,Texas
31,059,Fillmore County,Nebraska
48,423,Smith County,Texas
48,213,Henderson County,Texas
36,007,Broome County,New York
51,061,Fauquier County,Virginia
48,473,Waller County,Texas
40,069,Johnston County,Oklahoma
48,185,Grimes County,Texas
40,061,Haskell County,Oklahoma
40,079,Le Flore County,Oklahoma
01,091,Marengo County,Alabama
39,111,Monroe County,Ohio
01,107,Pickens County,Alabama
42,051,Fayette County,Pennsylvania
51,091,Highland County,Virginia
54,073,Pleasants County,West Virginia
28,043,Grenada County,Mississippi
28,133,Sunflower County,Mississippi
54,085,Ritchie County,West Virginia
54,017,Doddridge County,West Virginia
54,041,Lewis County,West Virginia
54,091,Taylor County,West Virginia
39,051,Fulton County,Ohio
13,193,Macon County,Georgia
05,115,Pope County,Arkansas
13,197,Marion County,Georgia
13,249,Schley County,Georgia
55,103,Richland County,Wisconsin
05,141,Van Buren County,Arkansas
22,049,Jackson Parish,Louisiana
37,139,Pasquotank County,North Carolina
51,830,Williamsburg city,Virginia
51,650,Hampton city,Virginia
29,091,Howell County,Missouri
36,109,Tompkins County,New York
08,014,Broomfield County,Colorado
40,015,Caddo County,Oklahoma
40,031,Comanche County,Oklahoma
29,065,Dent County,Missouri
29,223,Wayne County,Missouri
08,027,Custer County,Colorado
29,153,Ozark County,Missouri
22,077,Pointe Coupee Parish,Louisiana
08,047,Gilpin County,Colorado
08,065,Lake County,Colorado
48,319,Mason County,Texas
48,441,Taylor County,Texas
48,059,Callahan County,Texas
48,207,Haskell County,Texas
40,083,Logan County,Oklahoma
40,051,Grady County,Oklahoma
48,183,Gregg County,Texas
36,077,Otsego County,New York
51,101,King William County,Virginia
53,043,Lincoln County,Washington
13,003,Atkinson County,Georgia
53,063,Spokane County,Washington
13,313,Whitfield County,Georgia
48,355,Nueces County,Texas
54,093,Tucker County,West Virginia
48,435,Sutton County,Texas
50,017,Orange County,Vermont
48,491,Williamson County,Texas
32,029,Storey County,Nevada
72,137,Toa Baja Municipio,Puerto Rico
17,057,Fulton County,Illinois
29,139,Montgomery County,Missouri
13,271,Telfair County,Georgia
13,185,Lowndes County,Georgia
45,041,Florence County,South Carolina
27,017,Carlton County,Minnesota
37,019,Brunswick County,North Carolina
27,029,Clearwater County,Minnesota
27,057,Hubbard County,Minnesota
47,115,Marion County,Tennessee
20,009,Barton County,Kansas
38,087,Slope County,North Dakota
22,093,St. James Parish,Louisiana
26,035,Clare County,Michigan
47,173,Union County,Tennessee
18,017,Cass County,Indiana
17,187,Warren County,Illinois
47,073,Hawkins County,Tennessee
05,105,Perry County,Arkansas
17,109,McDonough County,Illinois
26,049,Genesee County,Michigan
28,155,Webster County,Mississippi
29,077,Greene County,Missouri
37,195,Wilson County,North Carolina
47,083,Houston County,Tennessee
48,317,Martin County,Texas
51,595,Emporia city,Virginia
54,099,Wayne County,West Virginia
36,067,Onondaga County,New York
18,001,Adams County,Indiana
13,143,Haralson County,Georgia
46,039,Deuel County,South Dakota
55,085,Oneida County,Wisconsin
18,099,Marshall County,Indiana
19,101,Jefferson County,Iowa
26,129,Ogemaw County,Michigan
20,059,Franklin County,Kansas
27,069,Kittson County,Minnesota
39,023,Clark County,Ohio
47,061,Grundy County,Tennessee
54,105,Wirt County,West Virginia
21,085,Grayson County,Kentucky
17,061,Greene County,Illinois
28,109,Pearl River County,Mississippi
48,447,Throckmorton County,Texas
56,025,Natrona County,Wyoming
18,061,Harrison County,Indiana
19,057,Des Moines County,Iowa
28,103,Noxubee County,Mississippi
37,067,Forsyth County,North Carolina
47,067,Hancock County,Tennessee
46,103,Pennington County,South Dakota
08,001,Adams County,Colorado
13,025,Brantley County,Georgia
17,199,Williamson County,Illinois
19,031,Cedar County,Iowa
28,117,Prentiss County,Mississippi
31,185,York County,Nebraska
31,121,Merrick County,Nebraska
46,119,Sully County,South Dakota
48,497,Wise County,Texas
55,025,Dane County,Wisconsin
31,115,Loup County,Nebraska
17,049,Effingham County,Illinois
08,075,Logan County,Colorado
20,175,Seward County,Kansas
18,047,Franklin County,Indiana
26,151,Sanilac County,Michigan
26,115,Monroe County,Michigan
36,017,Chenango County,New York
42,125,Washington County,Pennsylvania
04,009,Graham County,Arizona
17,147,Piatt County,Illinois
20,123,Mitchell County,Kansas
29,123,Madison County,Missouri
31,099,Kearney County,Nebraska
39,027,Clinton County,Ohio
42,047,Elk County,Pennsylvania
48,191,Hall County,Texas
51,021,Bland County,Virginia
51,139,Page County,Virginia
72,065,Hatillo Municipio,Puerto Rico
16,025,Camas County,Idaho
18,101,Martin County,Indiana
37,107,Lenoir County,North Carolina
20,041,Dickinson County,Kansas
48,031,Blanco County,Texas
48,361,Orange County,Texas
51,590,Danville city,Virginia
13,127,Glynn County,Georgia
30,035,Glacier County,Montana
38,023,Divide County,North Dakota
54,029,Hancock County,West Virginia
05,101,Newton County,Arkansas
12,051,Hendry County,Florida
13,187,Lumpkin County,Georgia
17,123,Marshall County,Illinois
12,005,Bay County,Florida
72,005,Aguadilla Municipio,Puerto Rico
72,045,Comerío Municipio,Puerto Rico
72,061,Guaynabo Municipio,Puerto Rico
72,063,Gurabo Municipio,Puerto Rico
72,033,Cataño Municipio,Puerto Rico
72,041,Cidra Municipio,Puerto Rico
72,054,Florida Municipio,Puerto Rico
28,099,Neshoba County,Mississippi
01,079,Lawrence County,Alabama
08,003,Alamosa County,Colorado
12,107,Putnam County,Florida
13,095,Dougherty County,Georgia
13,253,Seminole County,Georgia
28,005,Amite County,Mississippi
28,013,Calhoun County,Mississippi
28,023,Clarke County,Mississippi
46,049,Faulk County,South Dakota
28,085,Lincoln County,Mississippi
54,067,Nicholas County,West Virginia
72,083,Las Marías Municipio,Puerto Rico
72,115,Quebradillas Municipio,Puerto Rico
72,111,Peñuelas Municipio,Puerto Rico
54,079,Putnam County,West Virginia
35,049,Santa Fe County,New Mexico
18,087,LaGrange County,Indiana
19,109,Kossuth County,Iowa
26,157,Tuscola County,Michigan
36,059,Nassau County,New York
38,099,Walsh County,North Dakota
40,065,Jackson County,Oklahoma
13,009,Baldwin County,Georgia
20,083,Hodgeman County,Kansas
21,043,Carter County,Kentucky
27,013,Blue Earth County,Minnesota
22,041,Franklin Parish,Louisiana
40,055,Greer County,Oklahoma
48,107,Crosby County,Texas
48,313,Madison County,Texas
36,051,Livingston County,New York
37,073,Gates County,North Carolina
28,047,Harrison County,Mississippi
39,037,Darke County,Ohio
47,125,Montgomery County,Tennessee
13,101,Echols County,Georgia
21,035,Calloway County,Kentucky
29,199,Scotland County,Missouri
36,095,Schoharie County,New York
37,057,Davidson County,North Carolina
39,133,Portage County,Ohio
13,237,Putnam County,Georgia
18,053,Grant County,Indiana
21,137,Lincoln County,Kentucky
13,013,Barrow County,Georgia
27,041,Douglas County,Minnesota
31,175,Valley County,Nebraska
27,107,Norman County,Minnesota
47,133,Overton County,Tennessee
51,033,Caroline County,Virginia
72,021,Bayamón Municipio,Puerto Rico
40,057,Harmon County,Oklahoma
47,117,Marshall County,Tennessee
19,099,Jasper County,Iowa
48,375,Potter County,Texas
47,015,Cannon County,Tennessee
16,047,Gooding County,Idaho
51,036,Charles City County,Virginia
37,079,Greene County,North Carolina
19,187,Webster County,Iowa
55,087,Outagamie County,Wisconsin
17,165,Saline County,Illinois
46,065,Hughes County,South Dakota
48,053,Burnet County,Texas
50,009,Essex County,Vermont
51,119,Middlesex County,Virginia
29,071,Franklin County,Missouri
13,321,Worth County,Georgia
72,023,Cabo Rojo Municipio,Puerto Rico
42,073,Lawrence County,Pennsylvania
22,111,Union Parish,Louisiana
31,119,Madison County,Nebraska
35,013,Doña Ana County,New Mexico
55,059,Kenosha County,Wisconsin
55,065,Lafayette County,Wisconsin
29,186,Ste. Genevieve County,Missouri
51,181,Surry County,Virginia
37,033,Caswell County,North Carolina
26,149,St. Joseph County,Michigan
27,051,Grant County,Minnesota
37,035,Catawba County,North Carolina
31,057,Dundy County,Nebraska
18,037,Dubois County,Indiana
39,125,Paulding County,Ohio
44,001,Bristol County,Rhode Island
46,043,Douglas County,South Dakota
12,011,Broward County,Florida
20,137,Norton County,Kansas
26,101,Manistee County,Michigan
32,510,Carson City,Nevada
37,003,Alexander County,North Carolina
51,035,Carroll County,Virginia
06,011,Colusa County,California
18,125,Pike County,Indiana
21,009,Barren County,Kentucky
27,097,Morrison County,Minnesota
20,049,Elk County,Kansas
29,017,Bollinger County,Missouri
40,047,Garfield County,Oklahoma
48,373,Polk County,Texas
54,097,Upshur County,West Virginia
01,065,Hale County,Alabama
22,081,Red River Parish,Louisiana
17,189,Washington County,Illinois
19,021,Buena Vista County,Iowa
20,017,Chase County,Kansas
13,043,Candler County,Georgia
39,069,Henry County,Ohio
13,075,Cook County,Georgia
48,221,Hood County,Texas
51,630,Fredericksburg city,Virginia
51,025,Brunswick County,Virginia
72,087,Loíza Municipio,Puerto Rico
29,001,Adair County,Missouri
13,319,Wilkinson County,Georgia
48,069,Castro County,Texas
45,037,Edgefield County,South Carolina
10,003,New Castle County,Delaware
19,051,Davis County,Iowa
20,121,Miami County,Kansas
31,103,Keya Paha County,Nebraska
35,035,Otero County,New Mexico
37,167,Stanly County,North Carolina
01,015,Calhoun County,Alabama
05,057,Hempstead County,Arkansas
17,005,Bond County,Illinois
18,045,Fountain County,Indiana
27,053,Hennepin County,Minnesota
20,081,Haskell County,Kansas
37,027,Caldwell County,North Carolina
40,153,Woodward County,Oklahoma
47,075,Haywood County,Tennessee
42,025,Carbon County,Pennsylvania
56,031,Platte County,Wyoming
40,099,Murray County,Oklahoma
31,079,Hall County,Nebraska
36,083,Rensselaer County,New York
37,129,New Hanover County,North Carolina
28,115,Pontotoc County,Mississippi
48,195,Hansford County,Texas
48,311,McMullen County,Texas
05,027,Columbia County,Arkansas
13,105,Elbert County,Georgia
17,083,Jersey County,Illinois
31,145,Red Willow County,Nebraska
19,107,Keokuk County,Iowa
17,035,Cumberland County,Illinois
13,161,Jeff Davis County,Georgia
13,199,Meriwether County,Georgia
13,257,Stephens County,Georgia
13,283,Treutlen County,Georgia
13,289,Twiggs County,Georgia
08,091,Ouray County,Colorado
40,105,Nowata County,Oklahoma
37,077,Granville County,North Carolina
51,600,Fairfax city,Virginia
51,620,Franklin city,Virginia
20,015,Butler County,Kansas
11,001,District of Columbia,District of Columbia
06,087,Santa Cruz County,California
48,271,Kinney County,Texas
54,023,Grant County,West Virginia
28,069,Kemper County,Mississippi
32,015,Lander County,Nevada
72,015,Arroyo Municipio,Puerto Rico
27,035,Crow Wing County,Minnesota
38,007,Billings County,North Dakota
20,159,Rice County,Kansas
26,031,Cheboygan County,Michigan
17,183,Vermilion County,Illinois
28,045,Hancock County,Mississippi
05,111,Poinsett County,Arkansas
12,091,Okaloosa County,Florida
53,069,Wahkiakum County,Washington
72,017,Barceloneta Municipio,Puerto Rico
55,137,Waushara County,Wisconsin
28,057,Itawamba County,Mississippi
